Category Heading,Route,PageSpeed Link,Score
"Core Page","/","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com",""
"Listing Page","/colleges","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fcolleges",""
"Listing Page","/universities","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Funiversities",""
"Listing Page","/courses","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fcourses",""
"Listing Page","/exams","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fexams",""
"Listing Page","/schools","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fschools",""
"Listing Page","/boards","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fboards",""
"Listing Page","/scholarships","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fscholarships",""
"Listing Page","/blogs","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fblogs",""
"Listing Page","/news","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fnews",""
"Dynamic Route Pattern","/college/[collegeId]/[collegeSlug]","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fcollege%2F%5BcollegeId%5D%2F%5BcollegeSlug%5D",""
"Dynamic Route Pattern","/college/[collegeId]/[collegeSlug]/[courseSlug]","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fcollege%2F%5BcollegeId%5D%2F%5BcollegeSlug%5D%2F%5BcourseSlug%5D",""
"Dynamic Route Pattern","/university/[universityId]/[universitySlug]","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Funiversity%2F%5BuniversityId%5D%2F%5BuniversitySlug%5D",""
"Dynamic Route Pattern","/course/[streamId]/[streamSlug]","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fcourse%2F%5BstreamId%5D%2F%5BstreamSlug%5D",""
"Dynamic Route Pattern","/course/[streamId]/[streamSlug]/[courseSlug]","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fcourse%2F%5BstreamId%5D%2F%5BstreamSlug%5D%2F%5BcourseSlug%5D",""
